Compte au 28/02/2023 : 8300.00 EUR
JPY/EUR : 0.482
USD/EUR : 1.445
Date;Montant;Devise;Categorie
08/01/2023;-591.60;USD;Assurance
31/01/2023;-983.56;JPY;Loisir
11/01/2023;-909.46;USD;Alimentation
19/06/2022;5394.03;EUR;Primes
22/02/2022;5362.43;JPY;Cadeau
18/02/2023;-978.44;JPY;Assurance
02/10/2022;-179.42;EUR;Loisir
06/04/2022;-51.21;USD;Alimentation
22/02/2022;-639.06;JPY;Transport
21/04/2022;-415.79;JPY;Enfants
16/09/2022;5411.02;JPY;Aide
30/05/2022;-648.39;JPY;Loisir
09/02/2023;-7.83;JPY;Assurance
28/10/2022;-766.84;USD;Loisir
29/05/2022;-97.68;JPY;Enfants
22/07/2022;-613.01;USD;Communication
29/08/2022;-288.64;EUR;Alimentation
19/02/2022;-481.06;JPY;Alimentation
31/08/2022;-379.51;EUR;Enfants
19/02/2022;-855.52;JPY;Loisir
27/07/2022;-954.58;USD;Loisir
07/08/2022;-546.73;JPY;Communication
07/11/2022;-18.27;EUR;Enfants
12/10/2022;-878.55;JPY;Transport
11/04/2022;-34.55;USD;Communication
11/02/2023;-893.85;EUR;Alimentation
20/09/2022;-635.15;USD;Alimentation
17/09/2022;7242.95;JPY;Aide
26/08/2022;-643.85;EUR;Communication
23/08/2022;-282.69;USD;Transport
10/04/2022;-136.53;JPY;Loisir
13/07/2022;-572.33;JPY;Alimentation
20/09/2022;-420.29;JPY;Assurance
16/02/2022;5550.89;EUR;Cadeau
03/02/2023;8981.85;EUR;Salaire
06/09/2022;-889.08;JPY;Enfants
16/10/2022;-443.90;JPY;Assurance
25/07/2022;-957.88;EUR;Enfants
22/01/2022;-751.50;JPY;Assurance
04/03/2022;-881.00;EUR;Communication
04/01/2022;-280.46;JPY;Transport
23/05/2022;-913.90;USD;Habitation
28/08/2022;-690.26;EUR;Sante
19/03/2022;-599.91;JPY;Sante
05/03/2022;-230.76;EUR;Loisir
28/03/2022;-951.18;EUR;Habitation
26/10/2022;-625.74;EUR;Loisir
22/06/2022;-762.74;USD;Enfants
30/08/2022;-460.78;USD;Loisir
31/05/2022;5824.24;USD;Salaire
18/08/2022;-88.93;JPY;Alimentation
20/11/2022;-134.38;USD;Sante
12/06/2022;5965.88;JPY;Aide
31/01/2023;3612.55;EUR;Cadeau
26/06/2022;-148.04;JPY;Transport
15/10/2022;-588.51;JPY;Transport
17/09/2022;-485.70;EUR;Sante
19/09/2022;-780.09;EUR;Communication
27/04/2022;-329.69;JPY;Assurance
14/02/2023;-653.94;EUR;Transport
01/01/2022;5401.38;USD;Primes
17/06/2022;-122.98;USD;Loisir
20/03/2022;-203.95;EUR;Assurance
12/01/2023;-288.02;USD;Communication
12/03/2022;-133.31;USD;Loisir
09/02/2022;-179.13;EUR;Communication
16/01/2022;-322.59;USD;Transport
05/02/2022;-958.53;JPY;Communication
30/07/2022;-229.82;JPY;Enfants
01/02/2022;-199.39;EUR;Communication
17/10/2022;-234.10;USD;Assurance
27/12/2022;-100.75;USD;Transport
04/04/2022;-45.91;JPY;Transport
27/12/2022;-565.64;JPY;Sante
29/01/2023;-505.64;JPY;Transport
26/01/2023;-135.63;JPY;Communication
08/01/2023;-169.35;USD;Habitation
01/12/2022;-678.38;USD;Sante
14/02/2023;-604.32;USD;Habitation
11/07/2022;-243.49;USD;Assurance
01/08/2022;-376.04;USD;Transport
21/03/2022;-321.88;USD;Loisir
01/11/2022;-432.61;JPY;Loisir
23/01/2022;-545.49;EUR;Loisir
20/03/2022;9239.65;USD;Cadeau
23/05/2022;-46.49;EUR;Loisir
17/10/2022;-482.05;JPY;Assurance
04/08/2022;-595.36;EUR;Enfants
20/07/2022;3043.44;USD;Primes
18/08/2022;8470.78;EUR;Cadeau
16/01/2023;-994.87;USD;Assurance
01/09/2022;-33.33;JPY;Alimentation
02/03/2022;-132.08;EUR;Enfants
14/04/2022;-742.40;JPY;Communication
11/07/2022;-394.35;USD;Loisir
03/01/2023;-488.49;JPY;Enfants
26/07/2022;-783.33;USD;Alimentation
19/10/2022;-983.02;JPY;Transport
21/07/2022;-800.96;EUR;Transport
26/05/2022;-72.89;USD;Sante
03/12/2022;-977.55;JPY;Sante
05/08/2022;-604.44;USD;Sante
10/02/2022;-284.61;JPY;Sante
31/05/2022;-774.32;EUR;Sante
21/04/2022;-40.99;USD;Communication
01/10/2022;-349.22;EUR;Transport
04/12/2022;-927.91;USD;Loisir
04/08/2022;-98.93;JPY;Sante
10/02/2022;-639.95;EUR;Habitation
25/03/2022;8615.17;USD;Aide
28/08/2022;-911.03;EUR;Assurance
16/11/2022;-474.87;EUR;Communication
12/03/2022;5349.79;EUR;Aide
12/03/2022;-939.42;JPY;Communication
20/04/2022;-876.98;JPY;Communication
18/09/2022;-821.58;JPY;Communication
28/11/2022;-718.33;JPY;Enfants
10/01/2023;-824.61;USD;Enfants
18/01/2022;-962.15;EUR;Communication
22/08/2022;-598.73;JPY;Assurance
19/04/2022;-101.88;EUR;Enfants
18/10/2022;-205.03;USD;Communication
29/01/2023;-702.19;USD;Assurance
07/07/2022;-744.58;EUR;Habitation
24/05/2022;5085.80;JPY;Aide
05/05/2022;-553.88;EUR;Enfants
12/01/2022;-927.63;JPY;Enfants
17/10/2022;-619.00;EUR;Communication
17/10/2022;-280.25;JPY;Assurance
22/05/2022;-439.45;USD;Transport
06/12/2022;-366.39;EUR;Assurance
10/11/2022;-113.38;JPY;Transport
02/03/2022;9994.07;JPY;Primes
08/01/2022;-833.80;JPY;Sante
13/12/2022;-709.05;USD;Enfants
27/01/2022;-599.78;JPY;Loisir
25/12/2022;-119.69;JPY;Communication
03/10/2022;-778.51;JPY;Sante
30/08/2022;-936.66;JPY;Habitation
17/10/2022;-566.57;EUR;Loisir
30/07/2022;-766.94;JPY;Assurance
15/02/2022;-712.20;EUR;Habitation
05/03/2022;-113.87;USD;Loisir
11/01/2022;-135.46;EUR;Habitation
11/04/2022;-944.09;EUR;Enfants
08/01/2023;-947.03;EUR;Loisir
27/07/2022;-382.61;JPY;Alimentation
08/02/2022;-150.46;JPY;Alimentation
30/01/2023;4925.37;EUR;Salaire
14/07/2022;-503.27;USD;Communication
22/08/2022;-407.08;USD;Loisir
23/08/2022;5258.28;EUR;Cadeau
09/03/2022;-705.46;EUR;Loisir
17/11/2022;-349.01;USD;Sante
30/12/2022;1493.47;EUR;Cadeau
08/11/2022;-802.52;EUR;Transport
13/06/2022;-317.84;USD;Sante
07/02/2022;8439.35;USD;Salaire
25/08/2022;-975.09;JPY;Communication
12/04/2022;-333.10;JPY;Loisir
19/02/2022;-169.68;EUR;Communication
20/06/2022;-358.04;JPY;Assurance
13/11/2022;-362.11;JPY;Communication
17/12/2022;-276.14;JPY;Loisir
21/01/2023;-725.85;EUR;Sante
10/01/2023;-158.75;USD;Alimentation
22/06/2022;-874.22;JPY;Communication
03/04/2022;-187.63;JPY;Communication
01/11/2022;-78.91;USD;Alimentation
27/03/2022;-75.52;USD;Sante
07/02/2023;5889.68;JPY;Aide
13/06/2022;-27.11;JPY;Loisir
15/04/2022;8718.15;JPY;Salaire
04/01/2023;-420.03;USD;Transport
30/09/2022;4478.77;EUR;Primes
19/12/2022;-100.66;EUR;Alimentation
09/12/2022;-748.95;EUR;Loisir
10/12/2022;1845.38;USD;Primes
23/03/2022;4853.59;USD;Primes
25/12/2022;-343.89;USD;Transport
23/11/2022;-704.14;EUR;Sante
05/08/2022;-423.82;EUR;Sante
02/05/2022;9146.68;USD;Cadeau
29/07/2022;-793.60;USD;Loisir
19/10/2022;9350.00;USD;Aide
12/03/2022;-812.15;USD;Transport
29/07/2022;-573.47;JPY;Habitation
19/02/2022;-623.85;USD;Assurance
17/06/2022;-169.66;EUR;Habitation
28/04/2022;-900.19;USD;Communication
29/01/2022;-738.64;USD;Transport
20/12/2022;-39.83;JPY;Habitation
22/10/2022;-901.16;USD;Transport
26/10/2022;-86.19;JPY;Communication
01/01/2023;1917.24;JPY;Cadeau
10/08/2022;-875.57;JPY;Enfants
23/04/2022;-166.20;JPY;Communication
15/11/2022;-211.90;USD;Assurance
03/02/2022;-880.13;JPY;Enfants
28/07/2022;-517.91;JPY;Transport
23/03/2022;-7.35;EUR;Communication
31/12/2022;186.60;USD;Cadeau
10/02/2023;-109.07;JPY;Transport
14/08/2022;-908.83;EUR;Loisir
30/07/2022;-621.28;JPY;Alimentation
20/02/2023;3305.80;JPY;Salaire
06/01/2022;-71.59;JPY;Assurance
20/04/2022;-92.98;USD;Habitation
07/11/2022;-603.29;USD;Enfants
09/02/2023;-906.55;USD;Alimentation
04/09/2022;-420.76;USD;Communication
27/08/2022;-83.53;EUR;Habitation
15/08/2022;1098.59;USD;Cadeau
11/01/2023;-442.07;EUR;Alimentation
06/07/2022;-454.82;USD;Assurance
11/01/2023;15.51;EUR;Aide
08/02/2022;7559.18;JPY;Cadeau
04/09/2022;-420.64;EUR;Sante
16/03/2022;-26.18;JPY;Habitation
22/09/2022;-42.58;JPY;Communication
09/08/2022;-810.53;USD;Sante
27/02/2022;-949.03;JPY;Communication
27/08/2022;-937.24;USD;Habitation
25/11/2022;-208.34;JPY;Sante
20/07/2022;-334.09;USD;Transport
25/06/2022;-627.47;JPY;Loisir
25/12/2022;-209.37;USD;Habitation
28/04/2022;-208.68;USD;Loisir
25/09/2022;-696.29;USD;Alimentation
11/04/2022;-374.62;EUR;Enfants
28/06/2022;-366.07;USD;Alimentation
23/03/2022;-206.21;EUR;Alimentation
01/08/2022;-172.70;USD;Transport
01/06/2022;-390.93;JPY;Transport
30/08/2022;-773.05;USD;Alimentation
24/11/2022;8267.95;USD;Salaire
20/01/2022;-486.38;JPY;Transport
25/07/2022;-819.09;USD;Communication
01/02/2022;-3.71;EUR;Assurance
16/07/2022;-217.51;EUR;Sante
21/12/2022;-450.68;JPY;Transport
30/09/2022;-858.48;EUR;Alimentation
03/06/2022;-611.17;JPY;Assurance
10/01/2022;-254.41;EUR;Sante
15/08/2022;-860.19;USD;Alimentation
29/08/2022;-442.28;USD;Transport
25/08/2022;-598.40;EUR;Sante
06/09/2022;-620.37;USD;Alimentation
22/09/2022;-542.21;USD;Alimentation
13/07/2022;-28.20;USD;Habitation
01/04/2022;-92.79;JPY;Transport
17/02/2023;-49.67;JPY;Enfants
30/03/2022;-226.73;JPY;Communication
17/11/2022;-403.88;USD;Habitation
17/06/2022;-638.91;EUR;Loisir
01/01/2022;-404.74;EUR;Loisir
17/08/2022;-96.38;EUR;Communication
18/07/2022;-755.35;JPY;Transport
16/08/2022;-813.33;JPY;Transport
20/06/2022;-599.89;JPY;Transport
26/01/2022;-532.34;USD;Assurance
29/08/2022;-11.42;JPY;Enfants
01/09/2022;-753.52;USD;Enfants
18/02/2022;-225.38;USD;Transport
07/01/2022;-457.59;EUR;Sante
03/09/2022;-846.86;JPY;Alimentation
17/06/2022;-555.70;EUR;Loisir
07/01/2022;4668.54;EUR;Salaire
13/07/2022;-59.22;EUR;Alimentation
27/11/2022;-217.49;JPY;Loisir
18/03/2022;2366.21;USD;Cadeau
08/09/2022;-310.19;EUR;Assurance
01/11/2022;-239.80;USD;Habitation
13/01/2022;-713.26;USD;Enfants
28/09/2022;-205.88;EUR;Habitation
02/02/2023;2818.86;EUR;Primes
04/06/2022;-863.64;USD;Loisir
10/03/2022;-61.25;EUR;Alimentation
21/10/2022;-276.17;EUR;Sante
04/04/2022;4844.72;USD;Aide
03/02/2022;-754.98;EUR;Assurance
11/02/2023;-99.78;JPY;Assurance
14/05/2022;-157.54;USD;Communication
27/12/2022;-593.23;USD;Enfants
08/02/2023;-556.28;USD;Communication
05/06/2022;-66.97;JPY;Habitation
15/07/2022;-795.93;JPY;Alimentation
14/09/2022;-735.51;JPY;Assurance
28/01/2022;2476.43;EUR;Cadeau
17/08/2022;-833.02;USD;Alimentation
20/09/2022;-122.07;JPY;Habitation
07/08/2022;-362.46;USD;Sante
15/01/2023;-426.38;EUR;Transport
07/08/2022;-271.93;USD;Transport
24/02/2022;-903.60;USD;Enfants
28/10/2022;-374.85;USD;Sante
13/08/2022;5011.24;USD;Primes
26/05/2022;-103.11;EUR;Sante
16/04/2022;-111.97;EUR;Alimentation
23/09/2022;-172.37;JPY;Transport
26/04/2022;-476.60;EUR;Transport
30/10/2022;7126.23;JPY;Salaire
04/03/2022;9319.47;EUR;Primes
20/06/2022;-825.51;USD;Loisir
25/06/2022;-16.12;JPY;Habitation
09/01/2022;-709.12;USD;Enfants
17/08/2022;4863.57;EUR;Cadeau
27/01/2022;-281.30;EUR;Habitation
22/09/2022;-285.13;EUR;Sante
15/05/2022;-963.92;USD;Habitation
05/12/2022;-760.53;USD;Alimentation
19/04/2022;-515.37;USD;Enfants
08/01/2022;3702.04;JPY;Salaire
03/10/2022;-826.32;EUR;Assurance
23/02/2022;-523.39;JPY;Assurance
27/02/2022;-818.24;USD;Alimentation
24/01/2022;-96.89;USD;Transport
25/11/2022;-840.07;EUR;Assurance
17/08/2022;-704.65;USD;Enfants
21/04/2022;-335.06;EUR;Alimentation
26/07/2022;-787.70;USD;Sante
01/05/2022;-69.29;JPY;Sante
04/07/2022;9794.19;USD;Primes
19/01/2023;-749.35;JPY;Alimentation
09/12/2022;-757.23;EUR;Communication
26/06/2022;-0.93;JPY;Communication
30/11/2022;-745.45;USD;Loisir
22/04/2022;-430.89;EUR;Enfants
27/10/2022;-113.54;JPY;Assurance
25/08/2022;2177.11;JPY;Cadeau
03/08/2022;-656.20;EUR;Transport
04/11/2022;-502.00;EUR;Habitation
01/05/2022;-175.97;EUR;Assurance
17/10/2022;-448.08;EUR;Assurance
24/07/2022;-568.44;JPY;Loisir
23/10/2022;725.32;USD;Primes
27/03/2022;-61.73;JPY;Loisir
02/03/2022;-678.39;EUR;Loisir
15/11/2022;3358.68;USD;Cadeau
15/08/2022;-3.45;JPY;Enfants
20/02/2022;-930.00;EUR;Transport
30/01/2023;-780.79;JPY;Sante
05/10/2022;-162.70;USD;Communication
05/04/2022;-214.06;JPY;Loisir
08/01/2022;2894.18;EUR;Cadeau
06/03/2022;-94.37;EUR;Habitation
21/10/2022;-386.01;USD;Sante
26/04/2022;-5.81;USD;Transport
01/06/2022;7878.54;JPY;Cadeau
09/09/2022;-879.16;JPY;Assurance
18/05/2022;-128.77;USD;Enfants
12/12/2022;-773.96;EUR;Communication
22/12/2022;-665.36;EUR;Alimentation
27/04/2022;-627.84;EUR;Sante
03/04/2022;-585.56;USD;Loisir
07/04/2022;-590.91;USD;Habitation
25/04/2022;-163.07;EUR;Transport
29/08/2022;-828.08;JPY;Loisir
29/07/2022;-872.35;EUR;Communication
19/10/2022;-533.78;USD;Alimentation
11/02/2023;-825.17;USD;Transport
06/11/2022;-599.81;USD;Loisir
11/04/2022;3914.43;USD;Aide
15/10/2022;-473.02;JPY;Alimentation
08/07/2022;-901.42;JPY;Transport
26/05/2022;-458.99;JPY;Loisir
17/10/2022;9834.88;EUR;Primes
07/07/2022;-731.49;JPY;Loisir
11/02/2023;-477.33;USD;Loisir
16/02/2022;3671.74;JPY;Salaire
05/04/2022;-603.58;USD;Alimentation
01/02/2022;-957.03;EUR;Transport
29/04/2022;-682.43;EUR;Loisir
17/04/2022;-130.21;JPY;Alimentation
04/02/2023;-643.45;JPY;Enfants
10/02/2023;-352.60;JPY;Transport
13/02/2023;6066.70;JPY;Cadeau
08/02/2022;-427.50;EUR;Alimentation
25/07/2022;-588.14;USD;Sante
03/05/2022;-266.17;EUR;Assurance
13/02/2023;-476.73;JPY;Loisir
31/08/2022;-906.29;JPY;Assurance
28/10/2022;-288.73;JPY;Transport
10/10/2022;-918.80;USD;Communication
12/12/2022;-915.21;JPY;Enfants
04/06/2022;-118.96;EUR;Habitation
22/10/2022;-50.33;JPY;Communication
30/07/2022;7768.82;USD;Aide
19/03/2022;-627.13;EUR;Sante
27/03/2022;-762.18;EUR;Habitation
06/06/2022;-817.73;JPY;Habitation
28/01/2022;-640.02;JPY;Habitation
13/07/2022;-700.24;EUR;Loisir
07/10/2022;-531.31;EUR;Sante
10/01/2023;-302.29;EUR;Sante
26/03/2022;-648.74;USD;Sante
11/09/2022;-953.01;USD;Sante
06/01/2023;-290.38;EUR;Habitation
26/12/2022;-792.46;JPY;Transport
22/07/2022;-571.39;EUR;Communication
08/10/2022;-539.96;JPY;Sante
31/01/2022;-714.39;USD;Habitation
23/06/2022;-271.25;USD;Transport
01/08/2022;-225.87;USD;Habitation
08/06/2022;4893.05;USD;Aide
15/02/2022;-320.42;JPY;Enfants
20/09/2022;-528.02;JPY;Communication
29/01/2022;-180.05;JPY;Assurance
15/03/2022;-951.81;USD;Alimentation
05/09/2022;-198.17;USD;Enfants
19/04/2022;-927.50;USD;Communication
18/03/2022;-37.49;EUR;Alimentation
10/11/2022;-909.67;USD;Loisir
05/01/2023;-493.68;JPY;Habitation
18/05/2022;-229.02;USD;Transport
28/06/2022;-154.46;USD;Alimentation
14/01/2023;-666.10;JPY;Communication
20/10/2022;-126.43;EUR;Loisir
14/01/2022;-900.25;JPY;Habitation
22/04/2022;-378.09;EUR;Assurance
11/02/2022;-210.42;JPY;Sante
14/01/2022;-263.95;EUR;Enfants
13/01/2022;5733.48;EUR;Aide
06/02/2022;-965.97;JPY;Assurance
14/11/2022;-321.91;JPY;Loisir
29/06/2022;-320.87;EUR;Enfants
22/01/2022;-5.47;USD;Sante
19/10/2022;-706.38;USD;Enfants
02/07/2022;-91.15;USD;Loisir
10/07/2022;-630.84;USD;Loisir
06/05/2022;-424.03;EUR;Habitation
20/11/2022;-426.83;JPY;Loisir
23/10/2022;-258.10;EUR;Transport
11/01/2022;972.53;JPY;Primes
08/06/2022;-514.71;EUR;Habitation
07/10/2022;9474.16;USD;Cadeau
29/11/2022;-706.76;JPY;Transport
18/09/2022;-782.08;JPY;Communication
24/04/2022;9931.08;EUR;Aide
17/03/2022;-822.81;EUR;Transport
31/05/2022;-777.99;EUR;Communication
24/11/2022;-275.74;USD;Habitation
12/12/2022;-874.47;JPY;Transport
02/01/2022;-497.94;EUR;Alimentation
12/04/2022;-262.59;EUR;Habitation
11/06/2022;-218.79;JPY;Loisir
20/12/2022;-828.98;EUR;Sante
10/01/2022;-692.44;EUR;Alimentation
27/05/2022;-256.13;EUR;Sante
15/06/2022;-108.47;EUR;Enfants
12/10/2022;-809.35;EUR;Alimentation
10/02/2022;-510.47;EUR;Alimentation
25/08/2022;-550.42;USD;Alimentation
01/01/2022;-631.72;USD;Enfants
10/05/2022;-271.74;JPY;Communication
15/02/2023;1624.61;JPY;Primes
27/04/2022;-199.22;JPY;Habitation
17/01/2022;-726.64;EUR;Transport
01/08/2022;-362.22;EUR;Sante
30/11/2022;-910.64;EUR;Alimentation
16/11/2022;-659.53;EUR;Transport
21/06/2022;-919.65;USD;Alimentation
25/01/2023;-668.46;JPY;Alimentation
03/06/2022;-665.46;JPY;Assurance
25/04/2022;-404.27;EUR;Transport
31/01/2023;-141.18;USD;Habitation
01/02/2022;-71.58;JPY;Communication
15/09/2022;-937.94;USD;Sante
19/02/2022;-187.02;EUR;Alimentation
17/12/2022;-631.52;EUR;Assurance
26/02/2022;-233.04;EUR;Enfants
31/05/2022;-496.17;JPY;Loisir
23/04/2022;-410.42;JPY;Assurance
26/12/2022;-940.76;EUR;Enfants
29/06/2022;-60.50;EUR;Transport
06/02/2022;-249.39;EUR;Enfants
13/05/2022;-66.88;USD;Loisir
17/12/2022;-948.33;JPY;Habitation
21/02/2022;151.57;USD;Salaire
23/10/2022;-324.55;EUR;Alimentation
11/01/2023;-417.89;EUR;Alimentation
01/02/2022;-22.78;JPY;Habitation
17/02/2022;-454.91;EUR;Alimentation
26/03/2022;8177.36;JPY;Cadeau
17/01/2023;-55.43;USD;Enfants
22/06/2022;-686.96;JPY;Assurance
14/11/2022;-25.48;EUR;Loisir
10/01/2023;-776.69;USD;Alimentation
08/12/2022;1630.47;EUR;Cadeau
06/10/2022;-946.92;USD;Transport
06/01/2023;-622.20;EUR;Enfants
19/12/2022;-914.41;USD;Transport
11/06/2022;-29.04;JPY;Loisir
06/02/2022;4483.29;JPY;Primes
27/06/2022;-297.49;USD;Assurance
10/11/2022;-860.12;USD;Alimentation
14/07/2022;-339.54;JPY;Enfants
28/02/2022;-726.62;EUR;Communication
15/02/2023;-361.44;EUR;Sante
26/11/2022;-356.79;JPY;Alimentation
02/04/2022;-113.52;USD;Transport
05/09/2022;-993.59;EUR;Transport
15/02/2023;4026.39;USD;Aide
21/01/2022;-319.29;JPY;Habitation
31/05/2022;-231.96;EUR;Transport
28/01/2022;-129.25;EUR;Sante
14/06/2022;-911.71;USD;Transport
28/05/2022;-715.50;USD;Alimentation
03/03/2022;4221.05;JPY;Primes
31/08/2022;-25.51;JPY;Loisir
16/07/2022;-374.49;EUR;Loisir
16/02/2023;-811.20;USD;Loisir
13/07/2022;-767.79;JPY;Habitation
01/02/2022;-928.06;JPY;Sante
19/05/2022;-861.33;JPY;Habitation
26/01/2023;-381.54;JPY;Enfants
17/01/2022;-261.33;EUR;Assurance
09/01/2022;-658.48;EUR;Alimentation
15/08/2022;-359.21;EUR;Sante
08/06/2022;-569.43;EUR;Alimentation
30/09/2022;-61.42;USD;Transport
11/09/2022;-488.29;USD;Communication
10/09/2022;-89.05;USD;Habitation
26/03/2022;-742.42;JPY;Communication
23/06/2022;-677.90;JPY;Habitation
10/02/2023;-608.92;USD;Loisir
03/06/2022;-263.99;JPY;Sante
12/02/2023;-862.48;JPY;Enfants
10/08/2022;-142.70;JPY;Communication
09/07/2022;-802.03;USD;Enfants
23/09/2022;-674.78;USD;Sante
11/02/2023;1231.04;JPY;Salaire
01/01/2022;-36.05;EUR;Transport
